,metaboliteID,microbeID,edgeType,pvalue
461,2093,339,3,0
462,2093,329,3,0
463,2093,159,2,0
464,2093,158,3,0
465,2093,157,3,0
466,2093,153,3,0
467,2093,152,3,0
468,2093,151,3,0
469,2093,149,3,0
470,2093,134,3,0
471,2093,133,3,0
472,2093,119,3,0
473,2093,75,3,0
474,2094,964,2,0
475,2094,953,2,0
476,2094,952,2,0
477,2094,464,2,0
478,2094,457,2,0
479,2094,339,2,0
480,2094,338,2,0
481,2094,158,2,0
482,2094,157,2,0
483,2094,153,2,0
484,2094,152,2,0
485,2094,151,2,0
486,2094,149,2,0
487,2094,135,2,0
488,2094,134,2,0
489,2094,129,2,0
490,2094,126,2,0
491,2094,75,2,0
492,2098,401,2,0
493,2098,159,2,0
494,2098,137,2,0
495,2099,157,2,0
496,2099,153,2,0
497,2099,152,2,0
498,2099,151,2,0
499,2099,149,2,0
500,2099,126,2,0
501,2100,157,2,0
502,2100,153,2,0
503,2100,152,2,0
504,2100,151,2,0
505,2100,149,2,0
506,2100,126,2,0
507,2101,157,2,0
508,2101,153,2,0
509,2101,152,2,0
510,2101,151,2,0
511,2101,149,2,0
512,2101,126,2,0
513,2103,157,2,0
514,2103,153,2,0
515,2103,152,2,0
516,2103,151,2,0
517,2103,149,2,0
518,2107,969,3,0
519,2107,968,3,0
520,2107,966,3,0
521,2107,965,3,0
522,2107,964,3,0
523,2107,952,3,0
524,2107,796,3,0
525,2107,461,3,0
526,2107,460,3,0
527,2107,457,3,0
528,2107,456,2,0
529,2107,455,3,0
530,2107,454,3,0
531,2107,420,3,0
532,2107,401,2,0
533,2107,339,3,0
534,2107,329,3,0
535,2107,326,3,0
536,2107,323,3,0
537,2107,314,3,0
538,2107,309,3,0
539,2107,161,2,0
540,2107,159,2,0
541,2107,157,3,0
542,2107,137,3,0
543,2107,135,3,0
544,2107,134,3,0
545,2107,133,3,0
546,2107,131,3,0
547,2107,129,3,0
548,2107,126,3,0
549,2107,125,3,0
550,2107,124,3,0
551,2107,123,3,0
552,2107,122,3,0
553,2107,121,3,0
554,2107,119,3,0
555,2107,75,3,0
556,2107,54,3,0
557,2107,9,3,0
558,2108,1065,3,0
559,2108,1064,3,0
560,2108,1054,3,0
561,2108,1052,3,0
562,2109,796,3,0
563,2109,401,3,0
564,2109,159,3,0
565,2109,76,3,0
566,2109,9,3,0
567,2114,796,3,0
568,2114,401,2,0
569,2114,76,3,0
570,2114,55,3,0
571,2114,54,3,0
572,2116,76,2,0
573,2117,551,2,0
574,2118,159,2,0
575,2119,965,2,0
576,2119,964,2,0
577,2119,796,3,0
578,2119,260,3,0
579,2119,134,3,0
580,2119,75,3,0
581,2119,54,3,0
582,2120,157,2,0
583,2120,153,2,0
584,2120,149,2,0
585,2122,965,2,0
586,2122,964,2,0
587,2122,796,3,0
588,2122,134,3,0
589,2122,129,3,0
590,2122,75,3,0
591,2122,54,3,0
592,2125,457,3,0
593,2125,309,2,0
594,2127,1099,2,0
595,2127,1064,2,0
596,2127,309,2,0
597,2128,965,2,0
598,2129,1099,2,0
599,2129,1064,2,0
600,2129,457,2,0
601,2129,309,2,0
602,2131,964,2,0
603,2131,812,2,0
604,2131,134,2,0
605,2131,126,2,0
606,2132,968,2,0
607,2132,966,2,0
608,2132,953,2,0
609,2132,454,2,0
610,2132,158,2,0
611,2132,157,2,0
612,2132,153,2,0
613,2132,134,2,0
614,2132,129,2,0
615,2132,126,2,0
616,2133,1064,2,0
617,2133,457,3,0
